ean,title,brand,price,productUrl,imageUrl,packSize
8000000000102,Oral-B EB20 Precision Clean opzetborstels 2-pack,Oral-B,4.12,https://www.bol.com/nl/p/eb20-precision-clean/8000000000102/,https://example-cdn.test/images/8000000000102.jpg,
8000000000104,Oral-B EB20 Precision Clean opzetborstels 4 + 0,Oral-B,8.04,https://www.bol.com/nl/p/eb20-precision-clean/8000000000104/,https://example-cdn.test/images/8000000000104.jpg,
8000000000108,Oral-B EB20 Precision Clean opzetborstels (x8),Oral-B,15.68,https://www.bol.com/nl/p/eb20-precision-clean/8000000000108/,https://example-cdn.test/images/8000000000108.jpg,
8000000000199,Oral-B EB20 Precision Clean opzetborstels multipack,Oral-B,6.00,https://www.bol.com/nl/p/multipack/8000000000199/,https://example-cdn.test/images/8000000000199.jpg,
8000000000202,Oral-B EB50 CrossAction opzetborstels 2 stuks,Oral-B,3.82,https://www.bol.com/nl/p/eb50-crossaction/8000000000202/,https://example-cdn.test/images/8000000000202.jpg,
8000000000203,Oral-B EB50 CrossAction opzetborstels (x3),Oral-B,6.21,https://www.bol.com/nl/p/eb50-crossaction/8000000000203/,https://example-cdn.test/images/8000000000203.jpg,
8000000000208,Oral-B EB50 CrossAction opzetborstels 4 + 4,Oral-B,16.16,https://www.bol.com/nl/p/eb50-crossaction/8000000000208/,https://example-cdn.test/images/8000000000208.jpg,
8000000000302,Oral-B EB60 Sensitive Clean opzetborstels duopack 2 stuks,Oral-B,3.94,https://www.bol.com/nl/p/eb60-sensitive-clean/8000000000302/,https://example-cdn.test/images/8000000000302.jpg,
8000000000304,Oral-B EB60 Sensitive Clean opzetborstels 4 stuks,Oral-B,7.68,https://www.bol.com/nl/p/eb60-sensitive-clean/8000000000304/,https://example-cdn.test/images/8000000000304.jpg,
8000000000402,Oral-B iO Ultimate Clean opzetborstels 2-pack,Oral-B,4.16,https://www.bol.com/nl/p/io-ultimate-clean/8000000000402/,https://example-cdn.test/images/8000000000402.jpg,
8000000000404,Oral-B iO Ultimate Clean opzetborstels 4 + 0,Oral-B,8.12,https://www.bol.com/nl/p/io-ultimate-clean/8000000000404/,https://example-cdn.test/images/8000000000404.jpg,
8000000000502,Oral-B iO Gentle Care opzetborstels duopack 2 stuks,Oral-B,3.96,https://www.bol.com/nl/p/io-gentle-care/8000000000502/,https://example-cdn.test/images/8000000000502.jpg,
8000000000503,Oral-B iO Gentle Care opzetborstels 3 stuks,Oral-B,5.79,https://www.bol.com/nl/p/io-gentle-care/8000000000503/,https://example-cdn.test/images/8000000000503.jpg,
8000000000604,Oral-B Pro CrossAction opzetborstels 4-pack,Oral-B,8.36,https://www.bol.com/nl/p/pro-cross-action/8000000000604/,https://example-cdn.test/images/8000000000604.jpg,
8000000000608,Oral-B Pro CrossAction opzetborstels 4 + 4,Oral-B,16.32,https://www.bol.com/nl/p/pro-cross-action/8000000000608/,https://example-cdn.test/images/8000000000608.jpg,
8000000000702,Philips Sonicare ProResults opzetborstels duopack 2 stuks,Philips Sonicare,4.78,https://www.bol.com/nl/p/proresults/8000000000702/,https://example-cdn.test/images/8000000000702.jpg,
8000000000704,Philips Sonicare ProResults opzetborstels 4 stuks,Philips Sonicare,9.36,https://www.bol.com/nl/p/proresults/8000000000704/,https://example-cdn.test/images/8000000000704.jpg,
8000000000708,Philips Sonicare ProResults opzetborstels 8-pack,Philips Sonicare,20.00,https://www.bol.com/nl/p/proresults/8000000000708/,https://example-cdn.test/images/8000000000708.jpg,
8000000000799,Philips Sonicare ProResults opzetborstels multipack,Philips Sonicare,7.20,https://www.bol.com/nl/p/multipack/8000000000799/,https://example-cdn.test/images/8000000000799.jpg,
8000000000802,Philips Sonicare DiamondClean opzetborstels (x2),Philips Sonicare,4.90,https://www.bol.com/nl/p/diamondclean/8000000000802/,https://example-cdn.test/images/8000000000802.jpg,
8000000000803,Philips Sonicare DiamondClean opzetborstels set van 3,Philips Sonicare,7.20,https://www.bol.com/nl/p/diamondclean/8000000000803/,https://example-cdn.test/images/8000000000803.jpg,
8000000000902,Philips Sonicare C3 Premium Plaque Control opzetborstels 2 stuks,Philips Sonicare,4.70,https://www.bol.com/nl/p/c3-premium-plaque-control/8000000000902/,https://example-cdn.test/images/8000000000902.jpg,
8000000000904,Philips Sonicare C3 Premium Plaque Control opzetborstels 4-pack,Philips Sonicare,9.20,https://www.bol.com/nl/p/c3-premium-plaque-control/8000000000904/,https://example-cdn.test/images/8000000000904.jpg,
8000000001002,Philips Sonicare W2 Optimal White opzetborstels (x2),Philips Sonicare,4.92,https://www.bol.com/nl/p/w2-optimal-white/8000000001002/,https://example-cdn.test/images/8000000001002.jpg,
8000000001004,Philips Sonicare W2 Optimal White opzetborstels set van 4,Philips Sonicare,9.64,https://www.bol.com/nl/p/w2-optimal-white/8000000001004/,https://example-cdn.test/images/8000000001004.jpg,
8000000001102,Philips Sonicare G3 Premium Gum Care opzetborstels 2 stuks,Philips Sonicare,4.72,https://www.bol.com/nl/p/g3-premium-gum-care/8000000001102/,https://example-cdn.test/images/8000000001102.jpg,
8000000001202,Jordan Clean Slim opzetborstels 2-pack,Jordan,3.02,https://www.bol.com/nl/p/clean-slim/8000000001202/,https://example-cdn.test/images/8000000001202.jpg,
