productnaam;prijs;ean_code;deeplink;afbeelding_url;merk;aantal;winkel
Oral-B EB20 Precision Clean opzetborstels 4 + 0;8.08;8000000000104;https://www.etos.nl/p/eb20-precision-clean;https://example-cdn.test/images/8000000000104.jpg;Oral-B;4;Etos
Oral-B EB50 CrossAction opzetborstels (x8);15.76;8000000000208;https://www.kruidvat.nl/p/eb50-crossaction;https://example-cdn.test/images/8000000000208.jpg;Oral-B;8;Kruidvat
Oral-B EB60 Sensitive Clean opzetborstels 4 stuks;7.68;8000000000304;https://www.etos.nl/p/eb60-sensitive-clean;https://example-cdn.test/images/8000000000304.jpg;Oral-B;4;Etos
Oral-B iO Ultimate Clean opzetborstels 2-pack;4.16;8000000000402;https://www.kruidvat.nl/p/io-ultimate-clean;https://example-cdn.test/images/8000000000402.jpg;Oral-B;2;Kruidvat
Oral-B iO Gentle Care opzetborstels 3 stuks;6.09;8000000000503;https://www.etos.nl/p/io-gentle-care;https://example-cdn.test/images/8000000000503.jpg;Oral-B;3;Etos
Oral-B Pro CrossAction opzetborstels set van 4;7.92;8000000000604;https://www.kruidvat.nl/p/pro-cross-action;https://example-cdn.test/images/8000000000604.jpg;Oral-B;4;Kruidvat
Philips Sonicare ProResults opzetborstels 4 stuks;9.32;8000000000704;https://www.etos.nl/p/proresults;https://example-cdn.test/images/8000000000704.jpg;Philips Sonicare;4;Etos
Philips Sonicare DiamondClean opzetborstels 2-pack;4.98;8000000000802;https://www.kruidvat.nl/p/diamondclean;https://example-cdn.test/images/8000000000802.jpg;Philips Sonicare;2;Kruidvat
Philips Sonicare C3 Premium Plaque Control opzetborstels 4 + 0;9.76;8000000000904;https://www.etos.nl/p/c3-premium-plaque-control;https://example-cdn.test/images/8000000000904.jpg;Philips Sonicare;4;Etos
Philips Sonicare W2 Optimal White opzetborstels duopack 2 stuks;4.78;8000000001002;https://www.kruidvat.nl/p/w2-optimal-white;https://example-cdn.test/images/8000000001002.jpg;Philips Sonicare;2;Kruidvat
Philips Sonicare G3 Premium Gum Care opzetborstels 2 stuks;4.68;8000000001102;https://www.etos.nl/p/g3-premium-gum-care;https://example-cdn.test/images/8000000001102.jpg;Philips Sonicare;2;Etos
Jordan Clean Slim opzetborstels 2-pack;3.40;8000000001202;https://www.kruidvat.nl/p/clean-slim;https://example-cdn.test/images/8000000001202.jpg;Jordan;2;Kruidvat
Jordan Target Sensitive opzetborstels (x2);3.30;8000000001302;https://www.etos.nl/p/target-sensitive;https://example-cdn.test/images/8000000001302.jpg;Jordan;2;Etos
Opzetborstels geschikt voor Oral-B CrossAction set van 4;4.40;8000000001404;https://www.kruidvat.nl/p/compatible-crossaction;https://example-cdn.test/images/8000000001404.jpg;Generiek;4;Kruidvat
Vervangende opzetborstels geschikt voor Oral-B Precision Clean 8 stuks;8.40;8000000001508;https://www.etos.nl/p/compatible-precision-clean;https://example-cdn.test/images/8000000001508.jpg;Generiek;8;Etos
Oral-B Floss Action opzetborstels set van 6;14.99;;https://www.etos.nl/p/opzetborstel-101;https://example-cdn.test/images/extra-101.jpg;Oral-B;6;Etos
Philips Sonicare HX9024 opzetborstels 4 + 4;32.50;;https://www.kruidvat.nl/p/opzetborstel-102;https://example-cdn.test/images/extra-102.jpg;Philips Sonicare;;Kruidvat
Jordan Clean Slim opzetborstels 2 stuks;5.49;;https://www.etos.nl/p/opzetborstel-103;https://example-cdn.test/images/extra-103.jpg;Jordan;;Etos
Opzetborstels geschikt voor Oral-B (x8);9.95;;https://www.kruidvat.nl/p/opzetborstel-104;https://example-cdn.test/images/extra-104.jpg;Generiek;;Kruidvat
Compatible opzetborstels voor Sonicare 8-pack;11.49;;https://www.etos.nl/p/opzetborstel-105;https://example-cdn.test/images/extra-105.jpg;Generiek;;Etos
Oral-B Kids opzetborstels 2 stuks;6.99;;https://www.kruidvat.nl/p/opzetborstel-106;https://example-cdn.test/images/extra-106.jpg;Oral-B;;Kruidvat
Philips Sonicare for Kids opzetborstels;8.99;;https://www.etos.nl/p/opzetborstel-107;https://example-cdn.test/images/extra-107.jpg;Philips Sonicare;;Etos
Jordan Target Sensitive opzetborstels;4.49;;https://www.kruidvat.nl/p/opzetborstel-108;https://example-cdn.test/images/extra-108.jpg;Jordan;;Kruidvat
Oral-B Pro CrossAction opzetborstels set van 6;13.49;;https://www.etos.nl/p/opzetborstel-109;https://example-cdn.test/images/extra-109.jpg;Oral-B;;Etos
Philips Sonicare W2 Optimal White opzetborstels (x4);16.99;;https://www.kruidvat.nl/p/opzetborstel-110;https://example-cdn.test/images/extra-110.jpg;Philips Sonicare;;Kruidvat
Huismerk opzetborstels geschikt voor Oral-B 3D White 8 stuks;9.49;;https://www.etos.nl/p/opzetborstel-111;https://example-cdn.test/images/extra-111.jpg;Generiek;;Etos
Etos opzetborstels compatible voor Sonicare 2-pack;4.29;;https://www.kruidvat.nl/p/opzetborstel-112;https://example-cdn.test/images/extra-112.jpg;Generiek;;Kruidvat
Jordan Clean Slim opzetborstels 4 + 4;8.99;;https://www.etos.nl/p/opzetborstel-113;https://example-cdn.test/images/extra-113.jpg;Jordan;;Etos
